"CNTYBNA","FACTOR1","FACTOR2","FACTOR3","JA","CT89_91","POPU","HomiRate","LnHomiRate","xcoord","ycoord","poverty","public_assistance","female_headed","unemployment","new_residents","renter-occupied","no_high_school","crowded_households","black","latino"
"0310202",-1.0249,-0.5847,1.239,1.0382,0,5894,0,0,352473.6552734934,594038.2723483879,7.6314,3.8932,2.6349,2.6574,27.99,17.8203,15.7882,2.9455,1.7399,33.1438
"0310203",-1.039,-0.7343,0.5408,0.984,0,8710,0,0,352393.69371111825,593138.9364948244,5.2989,2.8453,4.6824,1.7167,38.55,32.946,18.1858,1.1103,0.7948,31.137
"0310204",-0.8865,-0.9072,-0.4659,1.0429,1,3306,30.248033877797944,3.441956458292654,353609.9139789455,593250.9290504567,7.3912,4.5168,6.6596,3.1331,52.31,55.7091,14.4496,2.524,4.1883,27.2105
"0310205",-0.7721,-0.0423,-1.0544,0.9834,0,7789,0,0,353752.02889328386,592456.1196824182,16.0596,8.5099,7.047,6.3869,60.78,73.9537,26.2287,8.7266,7.4007,63.2119
"0310206",-0.9287,-0.2375,-0.5252,1.0405,0,11281,0,0,352609.79663428775,592412.4269332086,13.5501,6.3386,3.5714,3.6237,54.39,57.3353,22.0472,9.1654,1.2219,45.9852
"0310207",-0.9248,-0.2836,-0.225,1.1513,1,7801,12.81886937572106,2.626035004263545,352079.86399688496,591369.0132437227,14.3361,4.9805,3.5478,5.0446,51.21,49.014,23.6765,5.5217,0.1891,49.0102
"0310208",-0.845,-0.1019,-0.5954,1.1497,0,12542,0,0,352913.52835414995,591238.9518238215,13.0771,6.9941,5.4941,5.9373,55.25,62.4087,26.7548,8.3667,0.1475,51.8831
"0310209",-0.7342,0.1422,-0.9757,1.0673,0,10028,0,0,353920.7264850045,591682.028456935,19.8524,13.1244,8.617,6.1971,65.35,59.5415,25.1429,13.9625,9.5304,62.2633
"0310301",-0.4748,-0.7758,-1.2897,0.913,17,12762,133.2079611346184,4.899390545688762,356165.68917475606,591703.6350735322,19.9736,10.2801,12.8516,6.0475,66.03,70.2046,15.0422,6.1387,30.89,37.3275
"0310302",-0.7673,-0.6986,-0.9387,1.0638,1,5003,19.98800719568259,3.043951188671872,355329.0670324667,591718.2770607995,12.5,6.1031,9.5139,4.264,57.4,68.4211,13.9388,6.1083,7.3107,36.7493
